ticker,companyName,sector,cap,weight
SGR,The Star Ent Group,Consumer Discretionary,3348230000,0.18
SHL,Sonic Healthcare,Health Care,13681600000,0.73
SIQ,Smartgrp Corporation,Industrials,841250000,0.04
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,2034950000,0.11
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,3584570000,0.19
SLR,Silver Lake Resource,Materials,1412150000,0.08
SOL,Soul Pattinson (W.H),Energy,4673000000,0.25
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,7991150000,0.43
SSM,Service Stream,Industrials,855714000,0.05
STO,Santos Limited,Energy,14227300000,0.76
SUL,Super Ret Rep Limited,Consumer Discretionary,1602090000,0.09
SUN,Suncorp Group Limited,Financials,14299200000,0.76
SVW,Seven Group Holdings,Industrials,5962510000,0.32
SXL,STHN Cross Media,,526774000,0.03
SYD,SYD Airport FP Ordinary/Units Stapled Securities,Industrials,17558900000,0.94
TAH,Tabcorp Holdings Limited,Consumer Discretionary,7675830000,0.41
TCL,Transurban Group FP Ordinary/Units Stapled Securities,Industrials,40615000000,2.17
TGR,Tassal Group Limited,Consumer Staples,798393000,0.04
TLS,Telstra Corporation,Telecommunication Services,40794000000,2.18
TNE,Technology One,Information Technology,2498380000,0.13
TPM,TPG Telecom Limited,Telecommunication Services,6986420000,0.37
TWE,Treasury Wine Estate,Consumer Staples,7941000000,0.42
URW,Unibailrodawestfield Cdi 20:1 Foreign Exempt Xpar,Real Estate,2813520000,0.15
VCX,Vicinity Centres FP Ordinary/Units Stapled Securities,Real Estate,8115680000,0.43
VEA,Viva Energy Group,Energy,3422380000,0.18
VOC,Vocus Group Limited,Telecommunication Services,2134760000,0.11
VUK,Virgin Money Uk Plc Cdi 1:1 Foreign Exempt Lse,Financials,2702540000,0.14
VVR,Viva Energy REIT FP Ordinary/Units Stapled Securities,Real Estate,2123940000,0.11
WBC,Westpac Banking Corp,Financials,85380200000,4.56
WEB,Webjet Limited,Consumer Discretionary,1296350000,0.07
WES,Wesfarmers Limited,Consumer Discretionary,46090600000,2.46
WHC,Whitehaven Coal,Energy,2052090000,0.11
WOR,Worley Limited,Energy,6515240000,0.35
WOW,Woolworths Group Limited,Consumer Staples,48935200000,2.62
WPL,Woodside Petroleum,Energy,26308700000,1.41
WSA,Western Areas Limited,Materials,662464000,0.04
WTC,Wisetech Global Limited,Information Technology,4806530000,0.26
XRO,Xero Limited,Information Technology,10440600000,0.56
